,date,search_term,interest
306,2020-10-18,efficient heater,12
307,2020-10-25,efficient heater,16
308,2020-11-01,efficient heater,15
309,2020-11-08,efficient heater,15
310,2020-11-15,efficient heater,13
311,2020-11-22,efficient heater,13
312,2020-11-29,efficient heater,18
313,2020-12-06,efficient heater,23
314,2020-12-13,efficient heater,8
315,2020-12-20,efficient heater,6
316,2020-12-27,efficient heater,20
317,2021-01-03,efficient heater,22
318,2021-01-10,efficient heater,16
319,2021-01-17,efficient heater,13
320,2021-01-24,efficient heater,12
321,2021-01-31,efficient heater,17
322,2021-02-07,efficient heater,25
323,2021-02-14,efficient heater,15
324,2021-02-21,efficient heater,8
325,2021-02-28,efficient heater,8
326,2021-03-07,efficient heater,8
327,2021-03-14,efficient heater,5
328,2021-03-21,efficient heater,4
329,2021-03-28,efficient heater,0
330,2021-04-04,efficient heater,10
331,2021-04-11,efficient heater,3
332,2021-04-18,efficient heater,8
333,2021-04-25,efficient heater,7
334,2021-05-02,efficient heater,7
335,2021-05-09,efficient heater,3
336,2021-05-16,efficient heater,4
337,2021-05-23,efficient heater,5
338,2021-05-30,efficient heater,4
339,2021-06-06,efficient heater,0
340,2021-06-13,efficient heater,2
341,2021-06-20,efficient heater,0
342,2021-06-27,efficient heater,0
343,2021-07-04,efficient heater,3
344,2021-07-11,efficient heater,0
345,2021-07-18,efficient heater,6
346,2021-07-25,efficient heater,3
347,2021-08-01,efficient heater,0
348,2021-08-08,efficient heater,5
349,2021-08-15,efficient heater,3
350,2021-08-22,efficient heater,7
351,2021-08-29,efficient heater,7
352,2021-09-05,efficient heater,5
353,2021-09-12,efficient heater,9
354,2021-09-19,efficient heater,14
355,2021-09-26,efficient heater,17
356,2021-10-03,efficient heater,24
357,2021-10-10,efficient heater,16
358,2021-10-17,efficient heater,18
359,2021-10-24,efficient heater,15
360,2021-10-31,efficient heater,26
361,2021-11-07,efficient heater,15
362,2021-11-14,efficient heater,6
363,2021-11-21,efficient heater,37
364,2021-11-28,efficient heater,30
365,2021-12-05,efficient heater,31
366,2021-12-12,efficient heater,7
367,2021-12-19,efficient heater,9
368,2021-12-26,efficient heater,9
369,2022-01-02,efficient heater,19
370,2022-01-09,efficient heater,13
371,2022-01-16,efficient heater,21
372,2022-01-23,efficient heater,18
373,2022-01-30,efficient heater,17
374,2022-02-06,efficient heater,6
375,2022-02-13,efficient heater,15
376,2022-02-20,efficient heater,20
377,2022-02-27,efficient heater,14
378,2022-03-06,efficient heater,18
379,2022-03-13,efficient heater,13
380,2022-03-20,efficient heater,9
