Database
Item code,ISO code,Unit,Year,Value,Source Code,Note,Title
toccfreschc,DK,Mtoe,2006,4.0442,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2007,4.1128,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2008,4.0291,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2009,3.8203,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2010,3.6421,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2011,3.9497,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2012,3.6346,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2013,3.6636,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2014,3.9209,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2015,3.9063,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2016,3.9201,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2017,3.8537,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2018,3.8688,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2019,3.8026,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2020,n.a.,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1990,n.a.,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1991,n.a.,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1992,n.a.,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1993,n.a.,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1994,n.a.,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1995,0.7142,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1996,0.7268,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1997,0.7907,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1998,0.6806,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,1999,0.6502,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2000,0.6600,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2001,0.6088,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2002,0.5960,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2003,0.5745,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2004,0.5776,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2005,0.5614,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2006,0.5757,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2007,0.6331,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2008,0.6431,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2009,0.5895,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2010,0.5634,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2011,0.6015,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2012,0.5607,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2013,0.5906,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2014,0.5560,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2015,0.5834,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2016,0.5811,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2017,0.5772,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2018,0.5976,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,EE,Mtoe,2019,0.6251,TTU,,Final consumption of residential for space heating with climatic corrections
