,Lifter,Date,variable,value
161,Zebulon Moore,06/18/2022,points_ipf_gl,100.65
162,Zachary McGillis,03/26/2022,points_ipf_gl,100.6
163,Marcellus Williams,06/08/2022,points_ipf_gl,100.59
164,Bryan Rodriguez Gomez,02/26/2022,points_ipf_gl,100.58
165,Caleb Calaway,08/13/2022,points_ipf_gl,100.57
166,Angelo Agustin,06/08/2022,points_ipf_gl,100.53
167,Christopher Austin,05/21/2022,points_ipf_gl,100.5
168,Aitor Lapena-Gutierrez,03/04/2022,points_ipf_gl,100.45
169,Connor Heim,03/30/2022,points_ipf_gl,100.39
170,Philip Truong,03/30/2022,points_ipf_gl,100.38
171,Andrew Ha,06/08/2022,points_ipf_gl,100.37
172,kevin cando,06/08/2022,points_ipf_gl,100.36
173,Justin Ellis,06/08/2022,points_ipf_gl,100.32
174,Jared Naquin,06/08/2022,points_ipf_gl,100.31
175,Devraj Roy,06/08/2022,points_ipf_gl,100.29
176,Thomas Anderson,06/04/2022,points_ipf_gl,100.26
177,Ronny Hiraldo,06/25/2022,points_ipf_gl,100.19
178,Ethan Marshall,09/17/2022,points_ipf_gl,100.06
179,Liam Newell,03/26/2022,points_ipf_gl,100.06
180,Jordan Beverly,05/21/2022,points_ipf_gl,100.03
181,Thomas Redd,01/29/2022,points_ipf_gl,100.0
182,Connor Sult,10/15/2022,points_ipf_gl,100.0
183,Michael Escano,07/02/2022,points_ipf_gl,99.96
184,Jordon Spence,03/26/2022,points_ipf_gl,99.9
185,Corey Dennis,06/08/2022,points_ipf_gl,99.9
186,Nathan Barna,04/02/2022,points_ipf_gl,99.84
187,Dominic Melvin,04/16/2022,points_ipf_gl,99.84
188,Carlos Santoliquido,09/10/2022,points_ipf_gl,99.84
189,Carson Allen,06/08/2022,points_ipf_gl,99.83
190,Terel Monroe,06/08/2022,points_ipf_gl,99.82
191,Hagen Henderson,04/09/2022,points_ipf_gl,99.82
192,Logan Goo,06/08/2022,points_ipf_gl,99.75
193,Joseph Rodriguez,06/08/2022,points_ipf_gl,99.74
194,Austin Nikolai,07/09/2022,points_ipf_gl,99.69
195,Jorge Diaz,10/09/2022,points_ipf_gl,99.68
196,Evan Dunne,05/29/2022,points_ipf_gl,99.65
197,Mark Beltran,06/08/2022,points_ipf_gl,99.6
198,CJ Shuford,06/08/2022,points_ipf_gl,99.53
199,Dalvin Sharpe,10/15/2022,points_ipf_gl,99.46
200,Joseph Bierly,07/08/2022,points_ipf_gl,99.45
201,Brian Marmolejo,02/26/2022,points_ipf_gl,99.45
202,Christian Petrilli,03/26/2022,points_ipf_gl,99.43
203,Elijah Williams,03/26/2022,points_ipf_gl,99.43
204,Nicolas Philippi,06/08/2022,points_ipf_gl,99.36
205,Stiven Sandoval Esparza,08/27/2022,points_ipf_gl,99.36
206,Jacob Waltzer,03/26/2022,points_ipf_gl,99.27
207,Zaw Thiha,10/15/2022,points_ipf_gl,99.25
208,Xuchill Laput,04/02/2022,points_ipf_gl,99.13
209,Nabil Lahlou,04/03/2022,points_ipf_gl,99.12
210,Thomas Magarelli,09/25/2022,points_ipf_gl,99.1
211,Ragan Henderson,10/15/2022,points_ipf_gl,98.93
212,Neitik Patel,01/29/2022,points_ipf_gl,98.92
213,Chase Ishmael,07/16/2022,points_ipf_gl,98.9
214,Arthur French,03/30/2022,points_ipf_gl,98.89
215,Sebastian Ehmann,04/16/2022,points_ipf_gl,98.74
216,Michael West,10/15/2022,points_ipf_gl,98.72
217,Matthew Swanson,06/08/2022,points_ipf_gl,98.72
218,Dylan Campbell,03/19/2022,points_ipf_gl,98.71
219,Trevor Woodman,03/06/2022,points_ipf_gl,98.7
220,David Waters,02/19/2022,points_ipf_gl,98.66
221,Kristopher Hunt,06/08/2022,points_ipf_gl,98.63
222,Tanner Underberg,03/30/2022,points_ipf_gl,98.62
223,Jason Coonan,06/08/2022,points_ipf_gl,98.62
224,Alex Hall,10/16/2022,points_ipf_gl,98.48
225,James Cole,03/30/2022,points_ipf_gl,98.44
226,Devin Tran,02/26/2022,points_ipf_gl,98.4
227,Zach Taylor,03/30/2022,points_ipf_gl,98.4
228,Brian Brickey,06/08/2022,points_ipf_gl,98.38
