,date,search_term,interest
296,2022-02-27,efficient heater,9
297,2022-03-06,efficient heater,16
298,2022-03-13,efficient heater,13
299,2022-03-20,efficient heater,9
300,2022-03-27,efficient heater,20
301,2022-04-03,efficient heater,14
302,2022-04-10,efficient heater,0
303,2022-04-17,efficient heater,6
304,2022-04-24,efficient heater,7
305,2022-05-01,efficient heater,5
306,2022-05-08,efficient heater,6
307,2022-05-15,efficient heater,6
308,2022-05-22,efficient heater,10
309,2022-05-29,efficient heater,5
310,2022-06-05,efficient heater,7
311,2022-06-12,efficient heater,3
312,2022-06-19,efficient heater,4
313,2022-06-26,efficient heater,4
314,2022-07-03,efficient heater,5
315,2022-07-10,efficient heater,6
316,2022-07-17,efficient heater,3
317,2022-07-24,efficient heater,11
318,2022-07-31,efficient heater,11
319,2022-08-07,efficient heater,25
320,2022-08-14,efficient heater,8
321,2022-08-21,efficient heater,32
322,2022-08-28,efficient heater,35
323,2022-09-04,efficient heater,27
324,2022-09-11,efficient heater,47
325,2022-09-18,efficient heater,66
326,2022-09-25,efficient heater,100
327,2022-10-02,efficient heater,58
328,2022-10-09,efficient heater,50
329,2022-10-16,efficient heater,39
330,2022-10-23,efficient heater,20
331,2022-10-30,efficient heater,47
332,2019-09-01,efficient boiler,0
333,2019-09-08,efficient boiler,27
334,2019-09-15,efficient boiler,17
335,2019-09-22,efficient boiler,20
336,2019-09-29,efficient boiler,0
337,2019-10-06,efficient boiler,15
338,2019-10-13,efficient boiler,17
339,2019-10-20,efficient boiler,33
340,2019-10-27,efficient boiler,32
341,2019-11-03,efficient boiler,29
342,2019-11-10,efficient boiler,18
343,2019-11-17,efficient boiler,45
344,2019-11-24,efficient boiler,51
345,2019-12-01,efficient boiler,22
346,2019-12-08,efficient boiler,19
347,2019-12-15,efficient boiler,30
348,2019-12-22,efficient boiler,18
349,2019-12-29,efficient boiler,25
350,2020-01-05,efficient boiler,14
351,2020-01-12,efficient boiler,36
352,2020-01-19,efficient boiler,11
353,2020-01-26,efficient boiler,13
354,2020-02-02,efficient boiler,52
355,2020-02-09,efficient boiler,20
356,2020-02-16,efficient boiler,18
357,2020-02-23,efficient boiler,26
358,2020-03-01,efficient boiler,15
359,2020-03-08,efficient boiler,26
360,2020-03-15,efficient boiler,0
361,2020-03-22,efficient boiler,22
362,2020-03-29,efficient boiler,23
363,2020-04-05,efficient boiler,0
364,2020-04-12,efficient boiler,0
365,2020-04-19,efficient boiler,11
366,2020-04-26,efficient boiler,0
367,2020-05-03,efficient boiler,19
368,2020-05-10,efficient boiler,0
369,2020-05-17,efficient boiler,13
370,2020-05-24,efficient boiler,12
371,2020-05-31,efficient boiler,8
372,2020-06-07,efficient boiler,8
373,2020-06-14,efficient boiler,0
374,2020-06-21,efficient boiler,0
375,2020-06-28,efficient boiler,12
376,2020-07-05,efficient boiler,45
377,2020-07-12,efficient boiler,13
378,2020-07-19,efficient boiler,17
379,2020-07-26,efficient boiler,45
380,2020-08-02,efficient boiler,16
381,2020-08-09,efficient boiler,23
382,2020-08-16,efficient boiler,7
383,2020-08-23,efficient boiler,0
384,2020-08-30,efficient boiler,0
385,2020-09-06,efficient boiler,0
386,2020-09-13,efficient boiler,17
387,2020-09-20,efficient boiler,29
388,2020-09-27,efficient boiler,23
389,2020-10-04,efficient boiler,19
390,2020-10-11,efficient boiler,23
391,2020-10-18,efficient boiler,19
392,2020-10-25,efficient boiler,43
393,2020-11-01,efficient boiler,12
394,2020-11-08,efficient boiler,22
395,2020-11-15,efficient boiler,8
396,2020-11-22,efficient boiler,23
397,2020-11-29,efficient boiler,19
398,2020-12-06,efficient boiler,19
