,search_term,year,month,interest,date,interest_sa,price
155,efficient boiler,2020,10,27.75,2020-10-01,15.527777777777786,104.7
156,efficient heater,2020,10,18.75,2020-10-01,8.30555555555556,104.7
157,energy efficient,2020,10,17.25,2020-10-01,6.083333333333341,104.7
158,insulation,2020,10,70.75,2020-10-01,69.63888888888887,104.7
159,secondary glazing,2020,10,42.0,2020-10-01,31.111111111111107,104.7
160,triple glazing,2020,10,37.25,2020-10-01,39.41666666666665,104.7
161,double glazing,2020,11,58.0,2020-11-01,62.26824045115359,104.7
162,efficient boiler,2020,11,21.6,2020-11-01,9.08281737356152,104.7
163,efficient heater,2020,11,14.8,2020-11-01,2.443705461738502,104.7
164,energy efficient,2020,11,17.0,2020-11-01,8.433562929849606,104.7
165,insulation,2020,11,70.0,2020-11-01,66.1361827855271,104.7
166,secondary glazing,2020,11,29.4,2020-11-01,19.17347799690802,104.7
167,triple glazing,2020,11,19.4,2020-11-01,26.265330905191643,104.7
168,double glazing,2020,12,47.5,2020-12-01,66.49236787890726,104.9
169,efficient boiler,2020,12,15.0,2020-12-01,15.033365793220387,104.9
170,efficient heater,2020,12,14.25,2020-12-01,12.80993011637701,104.9
171,energy efficient,2020,12,13.75,2020-12-01,11.028527258284852,104.9
172,insulation,2020,12,58.0,2020-12-01,71.40854649174847,104.9
173,secondary glazing,2020,12,20.75,2020-12-01,28.84187951038176,104.9
174,triple glazing,2020,12,26.5,2020-12-01,38.53733240088995,104.9
175,double glazing,2021,1,61.6,2021-01-01,61.6,105.0
176,efficient boiler,2021,1,32.6,2021-01-01,32.6,105.0
177,efficient heater,2021,1,16.0,2021-01-01,16.0,105.0
178,energy efficient,2021,1,18.2,2021-01-01,18.2,105.0
179,insulation,2021,1,79.6,2021-01-01,79.6,105.0
180,secondary glazing,2021,1,35.2,2021-01-01,35.2,105.0
181,triple glazing,2021,1,36.8,2021-01-01,36.8,105.0
182,double glazing,2021,2,73.75,2021-02-01,70.1703063825312,105.1
183,efficient boiler,2021,2,31.0,2021-02-01,30.683799293442647,105.1
184,efficient heater,2021,2,14.0,2021-02-01,18.85130803403237,105.1
185,energy efficient,2021,2,15.75,2021-02-01,17.168327721265335,105.1
186,insulation,2021,2,79.25,2021-02-01,83.56237879961431,105.1
187,secondary glazing,2021,2,32.0,2021-02-01,32.60923565661447,105.1
188,triple glazing,2021,2,27.0,2021-02-01,33.26511170990359,105.1
189,double glazing,2021,3,72.0,2021-03-01,73.60450165395129,105.2
