,date,search_term,interest,month,year,m_1,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,y_2018,y_2019,y_2020,y_2021,y_2022,interest_sa
132,2021-06-13,insulation,42,6,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,63.85376701692674
133,2021-06-20,insulation,44,6,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,65.85376701692674
134,2021-06-27,insulation,43,6,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,64.85376701692674
135,2021-07-04,insulation,44,7,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,63.84110555985794
136,2021-07-11,insulation,44,7,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,63.84110555985794
137,2021-07-18,insulation,42,7,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,61.84110555985794
138,2021-07-25,insulation,42,7,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,61.84110555985794
139,2021-08-01,insulation,43,8,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,58.39893687636693
140,2021-08-08,insulation,44,8,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59.39893687636693
141,2021-08-15,insulation,50,8,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,65.39893687636693
142,2021-08-22,insulation,46,8,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,61.39893687636693
143,2021-08-29,insulation,44,8,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59.39893687636693
144,2021-09-05,insulation,45,9,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50.55964936986791
145,2021-09-12,insulation,50,9,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,55.55964936986791
146,2021-09-19,insulation,56,9,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,61.55964936986791
